title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CENTRAL INTELLIGENCE BULLETIN - 1961/03/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007377,RIPPUB,U,16,"August 14, 2020","August 27, 2020",,,"March 1, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815745%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/12/07,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02020571,RIPPUB,U,6,"June 6, 2019","June 27, 2019",,,"December 7, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653090%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/08/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03172666,RIPPUB,U,16,"March 17, 2020","March 26, 2020",,,"August 27, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798869%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/06/22,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,05973646,RIPPUB,U,15,"August 14, 2020","August 27, 2020",,,"June 22, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815625%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/02/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03172470,RIPPUB,U,19,"January 27, 2020","January 30, 2020",,,"February 19, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772482%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/06/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03020487,RIPPUB,U,9,"October 25, 2019","October 31, 2019",,,"June 2, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15740100%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/05/24,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03194453,RIPPUB,U,5,"September 20, 2019","September 26, 2019",,,"May 24, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722759%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/12/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,06232654,RIPPUB,U,13,"January 27, 2020","January 30, 2020",,,"December 2, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777385%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/08/26,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169521,RIPPUB,U,15,"January 27, 2020","January 30, 2020",,,"August 26, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777382%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/05/15,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03185638,RIPPUB,U,18,"January 27, 2020","January 30, 2020",,,"May 15, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772402%5D.pdf
